"Label","Workers 16 years and over","Workers 16 years and over!!AGE","Workers 16 years and over!!AGE!!16 to 19 years","Workers 16 years and over!!AGE!!20 to 24 years","Workers 16 years and over!!AGE!!25 to 44 years","Workers 16 years and over!!AGE!!45 to 54 years","Workers 16 years and over!!AGE!!55 to 59 years","Workers 16 years and over!!AGE!!60 years and over","Workers 16 years and over!!AGE!!Median age (years)","Workers 16 years and over!!SEX","Workers 16 years and over!!SEX!!Male","Workers 16 years and over!!SEX!!Female","Workers 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN","Workers 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!One race","Workers 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White","Workers 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American","Workers 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native","Workers 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian","Workers 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander","Workers 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race","Workers 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races","Workers 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race)","Workers 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino origin","Workers 16 years and over!!NATIVITY AND CITIZENSHIP STATUS","Workers 16 years and over!!NATIVITY AND CITIZENSHIP STATUS!!Native","Workers 16 years and over!!NATIVITY AND CITIZENSHIP STATUS!!Foreign born","Workers 16 years and over!!NATIVITY AND CITIZENSHIP STATUS!!Foreign born!!Naturalized U.S. citizen","Workers 16 years and over!!NATIVITY AND CITIZENSHIP STATUS!!Foreign born!!Not a U.S. citizen","Workers 16 years and over!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","Workers 16 years and over!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Speak language other than English","Workers 16 years and over!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Speak language other than English!!Speak English ""very well""","Workers 16 years and over!!LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH!!Speak language other than English!!Speak English less than ""very well""","EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR WORKERS","EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR WORKERS!!Workers 16 years and over with earnings","EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR WORKERS!!Workers 16 years and over with earnings!!$1 to $9,999 or loss","EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR WORKERS!!Workers 16 years and over with earnings!!$10,000 to $14,999","EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR WORKERS!!Workers 16 years and over with earnings!!$15,000 to $24,999","EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR WORKERS!!Workers 16 years and over with earnings!!$25,000 to $34,999","EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR WORKERS!!Workers 16 years and over with earnings!!$35,000 to $49,999","EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR WORKERS!!Workers 16 years and over with earnings!!$50,000 to $64,999","EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR WORKERS!!Workers 16 years and over with earnings!!$65,000 to $74,999","EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR WORKERS!!Workers 16 years and over with earnings!!$75,000 or more","EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR WORKERS!!Workers 16 years and over with earnings!!Median earnings (dollars)","POVERTY STATUS IN THE PAST 12 MONTHS","POVERTY STATUS IN THE PAST 12 MONTHS!!Workers 16 years and over for whom poverty status is determined","POVERTY STATUS IN THE PAST 12 MONTHS!!Workers 16 years and over for whom poverty status is determined!!Below 100 percent of the poverty level","POVERTY STATUS IN THE PAST 12 MONTHS!!Workers 16 years and over for whom poverty status is determined!!100 to 149 percent of the poverty level","POVERTY STATUS IN THE PAST 12 MONTHS!!Workers 16 years and over for whom poverty status is determined!!At or above 150 percent of the poverty level","Workers 16 years and over","Workers 16 years and over!!OCCUPATION","Workers 16 years and over!!OCCUPATION!!Management, business, science, and arts occupations","Workers 16 years and over!!OCCUPATION!!Service occupations","Workers 16 years and over!!OCCUPATION!!Sales and office occupations","Workers 16 years and over!!OCCUPATION!!Natural resources, construction, and maintenance occupations","Workers 16 years and over!!OCCUPATION!!Production, transportation, and material moving occupations","Workers 16 years and over!!OCCUPATION!!Military specific occupations","Workers 16 years and over!!INDUSTRY","Workers 16 years and over!!INDUSTRY!!Agriculture, forestry, fishing and hunting, and mining","Workers 16 years and over!!INDUSTRY!!Construction","Workers 16 years and over!!INDUSTRY!!Manufacturing","Workers 16 years and over!!INDUSTRY!!Wholesale trade","Workers 16 years and over!!INDUSTRY!!Retail trade","Workers 16 years and over!!INDUSTRY!!Transportation and warehousing, and utilities","Workers 16 years and over!!INDUSTRY!!Information and finance and insurance, and real estate and rental and leasing","Workers 16 years and over!!INDUSTRY!!Professional, scientific, and management, and administrative and waste management services","Workers 16 years and over!!INDUSTRY!!Educational services, and health care and social assistance","Workers 16 years and over!!INDUSTRY!!Arts, entertainment, and recreation, and accommodation and food services","Workers 16 years and over!!INDUSTRY!!Other services (except public administration)","Workers 16 years and over!!INDUSTRY!!Public administration","Workers 16 years and over!!INDUSTRY!!Armed forces","Workers 16 years and over!!CLASS OF WORKER","Workers 16 years and over!!CLASS OF WORKER!!Private wage and salary workers","Workers 16 years and over!!CLASS OF WORKER!!Government workers","Workers 16 years and over!!CLASS OF WORKER!!Self-employed workers in own not incorporated business","Workers 16 years and over!!CLASS OF WORKER!!Unpaid family workers","Workers 16 years and over who did not work from home","Workers 16 years and over who did not work from home!!TIME ARRIVING AT WORK","Workers 16 years and over who did not work from home!!TIME ARRIVING AT WORK!!12:00 a.m. to 4:59 a.m.","Workers 16 years and over who did not work from home!!TIME ARRIVING AT WORK!!5:00 a.m. to 5:29 a.m.","Workers 16 years and over who did not work from home!!TIME ARRIVING AT WORK!!5:30 a.m. to 5:59 a.m.","Workers 16 years and over who did not work from home!!TIME ARRIVING AT WORK!!6:00 a.m. to 6:29 a.m.","Workers 16 years and over who did not work from home!!TIME ARRIVING AT WORK!!6:30 a.m. to 6:59 a.m.","Workers 16 years and over who did not work from home!!TIME ARRIVING AT WORK!!7:00 a.m. to 7:29 a.m.","Workers 16 years and over who did not work from home!!TIME ARRIVING AT WORK!!7:30 a.m. to 7:59 a.m.","Workers 16 years and over who did not work from home!!TIME ARRIVING AT WORK!!8:00 a.m. to 8:29 a.m.","Workers 16 years and over who did not work from home!!TIME ARRIVING AT WORK!!8:30 a.m. to 8:59 a.m.","Workers 16 years and over who did not work from home!!TIME ARRIVING AT WORK!!9:00 a.m. to 11:59 p.m.","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!Less than 10 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!10 to 14 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!15 to 19 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!20 to 24 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!25 to 29 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!30 to 34 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!35 to 44 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!45 to 59 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!60 or more minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes)","Workers 16 years and over in households","Workers 16 years and over in households!!HOUSING TENURE","Workers 16 years and over in households!!HOUSING TENURE!!Owner-occupied housing units","Workers 16 years and over in households!!HOUSING TENURE!!Renter-occupied housing units","Workers 16 years and over in households!!VEHICLES AVAILABLE","Workers 16 years and over in households!!VEHICLES AVAILABLE!!No vehicle available","Workers 16 years and over in households!!VEHICLES AVAILABLE!!1 vehicle available","Workers 16 years and over in households!!VEHICLES AVAILABLE!!2 vehicles available","Workers 16 years and over in households!!VEHICLES AVAILABLE!!3 or more vehicles available","PERCENT ALLOCATED","PERCENT ALLOCATED!!Means of transportation to work","PERCENT ALLOCATED!!Time arriving at work from home","PERCENT ALLOCATED!!Travel time to work","PERCENT ALLOCATED!!Vehicles available"
"Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,093,631","","3.9%","9.5%","43.5%","20.5%","9.4%","13.2%","41.5","","52.4%","47.6%","","N","69.1%","25.9%","N","1.6%","N","1.4%","1.4%","4.2%","66.6%","","95.1%","4.9%","2.2%","2.7%","","6.0%","3.3%","2.7%","","2,093,485","12.4%","6.9%","15.9%","14.7%","16.8%","12.8%","4.9%","15.6%","35,002","","2,081,325","7.1%","6.9%","86.0%","2,093,631","","35.9%","16.5%","20.3%","9.3%","17.7%","0.2%","","1.2%","6.8%","14.2%","2.6%","11.0%","5.4%","7.0%","9.7%","22.4%","8.9%","4.9%","5.3%","0.7%","","77.9%","16.8%","5.1%","0.2%","2,021,191","","4.5%","3.0%","5.7%","7.3%","11.2%","13.4%","15.3%","12.1%","5.1%","22.3%","","12.3%","13.9%","17.1%","15.5%","6.5%","13.4%","6.2%","8.0%","7.1%","25.3","2,080,050","","70.9%","29.1%","","2.2%","18.7%","39.3%","39.8%","","10.6%","23.0%","16.6%","2.2%"
"    Car, truck, or van -- drove alone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,780,279","","3.7%","9.2%","43.3%","20.8%","9.7%","13.3%","41.8","","52.5%","47.5%","","N","70.1%","25.5%","N","1.4%","N","1.1%","1.4%","3.7%","67.7%","","95.6%","4.4%","2.1%","2.3%","","5.3%","3.0%","2.3%","","1,780,190","11.3%","6.6%","15.5%","15.0%","17.3%","13.4%","4.9%","16.1%","35,987","","1,775,966","6.3%","6.5%","87.1%","1,780,279","","36.3%","16.1%","20.8%","8.9%","17.8%","0.2%","","1.1%","6.3%","14.7%","2.7%","11.3%","5.5%","6.8%","9.3%","22.7%","8.6%","4.7%","5.8%","0.6%","","78.4%","17.4%","4.1%","0.1%","1,780,279","","4.6%","3.1%","5.5%","7.4%","11.2%","13.4%","15.6%","12.2%","5.4%","21.5%","","11.4%","14.1%","17.0%","16.0%","6.6%","13.6%","6.5%","8.1%","6.7%","25.2","1,775,639","","72.3%","27.7%","","1.4%","18.3%","39.3%","41.1%","","(X)","(X)","(X)","(X)"
"    Car, truck, or van -- carpooled","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","184,792","","4.6%","13.3%","48.2%","17.5%","7.1%","9.2%","37.7","","53.3%","46.7%","","N","60.3%","29.9%","N","3.2%","N","4.0%","1.5%","8.2%","56.9%","","90.6%","9.4%","3.0%","6.4%","","11.6%","4.8%","6.8%","","184,782","17.9%","8.7%","20.7%","15.2%","14.7%","9.9%","4.2%","8.7%","26,388","","183,666","11.9%","9.8%","78.3%","184,792","","28.8%","19.1%","15.5%","14.8%","21.5%","0.4%","","1.4%","11.9%","15.1%","1.6%","10.7%","4.4%","4.8%","8.1%","21.7%","11.8%","5.2%","2.5%","0.9%","","78.2%","14.7%","7.0%","0.1%","184,792","","3.9%","2.5%","7.3%","7.2%","12.9%","15.3%","14.3%","8.9%","2.6%","25.0%","","12.3%","12.7%","19.7%","12.9%","6.4%","14.2%","5.1%","7.4%","9.5%","26.1","183,064","","60.4%","39.6%","","6.5%","21.5%","39.5%","32.6%","","(X)","(X)","(X)","(X)"
"    Public transportation (excluding taxicab)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,810","","6.3%","26.9%","33.2%","17.3%","5.4%","11.0%","33.7","","40.8%","59.2%","","N","27.2%","63.9%","N","1.4%","N","1.2%","1.6%","1.9%","25.9%","","94.1%","5.9%","1.2%","4.6%","","7.2%","3.2%","4.0%","","8,810","40.1%","5.5%","19.3%","17.1%","8.9%","3.8%","2.6%","2.6%","16,846","","8,810","24.9%","8.0%","67.2%","8,810","","16.9%","26.7%","22.4%","4.3%","29.7%","0.0%","","5.5%","5.3%","7.7%","2.1%","11.2%","2.2%","6.5%","14.4%","17.0%","19.5%","6.3%","2.2%","0.0%","","84.9%","12.0%","3.0%","0.0%","8,810","","0.0%","2.6%","1.4%","4.7%","7.0%","5.0%","10.7%","16.6%","18.2%","33.7%","","4.0%","5.1%","5.5%","17.9%","1.7%","20.0%","0.0%","11.1%","34.7%","47.5","8,747","","38.3%","61.7%","","25.5%","18.1%","20.8%","35.6%","","(X)","(X)","(X)","(X)"
"Alaska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","358,536","","3.8%","9.4%","45.5%","19.4%","9.4%","12.5%","40.7","","56.6%","43.4%","","N","69.5%","3.9%","10.5%","7.1%","N","1.8%","5.9%","7.8%","64.6%","","89.1%","10.9%","7.4%","3.5%","","16.8%","11.7%","5.1%","","358,364","9.3%","4.9%","12.9%","12.1%","15.2%","13.7%","7.8%","24.1%","45,516","","352,223","4.4%","4.6%","91.1%","358,536","","37.1%","16.5%","18.6%","12.2%","13.5%","2.1%","","5.1%","6.1%","4.0%","1.9%","9.5%","9.1%","5.9%","8.9%","22.6%","7.6%","4.8%","9.2%","5.3%","","66.9%","27.5%","5.4%","0.2%","343,395","","3.1%","2.7%","4.4%","6.3%","8.3%","11.6%","13.7%","14.8%","7.3%","27.9%","","25.7%","18.3%","18.5%","13.3%","5.0%","8.0%","2.0%","3.7%","5.5%","20.7","341,389","","67.1%","32.9%","","5.3%","20.8%","38.0%","35.9%","","10.1%","22.7%","14.6%","1.6%"
"    Car, truck, or van -- drove alone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","248,386","","3.3%","8.5%","47.2%","19.3%","9.4%","12.3%","40.7","","56.3%","43.7%","","N","73.3%","4.1%","7.6%","6.5%","N","1.7%","5.7%","7.6%","68.5%","","89.8%","10.2%","7.4%","2.9%","","13.7%","9.4%","4.3%","","248,312","7.2%","4.6%","11.9%","11.9%","16.5%","14.2%","8.6%","25.1%","47,666","","245,561","3.3%","4.1%","92.6%","248,386","","37.8%","16.2%","18.6%","11.5%","13.4%","2.6%","","3.1%","7.0%","2.7%","2.0%","9.6%","9.8%","6.2%","9.1%","23.1%","6.7%","4.8%","10.0%","5.9%","","67.1%","28.7%","4.1%","0.1%","248,386","","2.8%","2.4%","4.4%","6.1%","9.0%","11.7%","15.2%","15.3%","7.6%","25.7%","","19.2%","19.2%","21.7%","15.7%","5.7%","8.4%","2.3%","3.8%","4.0%","19.4","244,593","","69.3%","30.7%","","1.7%","19.8%","41.0%","37.5%","","(X)","(X)","(X)","(X)"
"    Car, truck, or van -- carpooled","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","42,498","","8.4%","16.2%","42.7%","18.3%","6.9%","7.5%","36.2","","48.6%","51.4%","","N","62.0%","2.8%","10.0%","10.8%","N","2.6%","9.3%","13.9%","52.9%","","87.7%","12.3%","7.0%","5.3%","","23.0%","15.5%","7.5%","","42,418","13.5%","5.0%","17.4%","12.0%","13.1%","13.6%","7.1%","18.4%","36,604","","40,688","6.2%","5.6%","88.2%","42,498","","36.6%","16.4%","23.8%","11.2%","10.0%","2.0%","","3.4%","3.9%","5.7%","2.4%","11.7%","7.2%","5.9%","5.9%","26.6%","9.4%","4.4%","6.6%","7.0%","","69.6%","25.8%","4.3%","0.2%","42,498","","1.1%","2.7%","5.2%","4.4%","8.8%","16.5%","13.9%","14.8%","7.0%","25.7%","","27.5%","18.7%","15.9%","11.1%","5.2%","11.4%","0.9%","6.4%","2.8%","18.4","39,823","","62.1%","37.9%","","3.3%","21.8%","34.3%","40.6%","","(X)","(X)","(X)","(X)"
