,State,Total,Male,Female,Age_16_19,Age_20_24,Age_25_44,Age_45_54,Age_55_59,Age_60_,State_Name
0,AL,2093631,1097063,996568,81652,198895,910729,429194,196801,276359,ALABAMA
1,AK,358536,202931,155605,13624,33702,163134,69556,33702,44817,ALASKA
2,AZ,3245234,1736200,1509034,123319,347240,1427903,642556,292071,415390,ARIZONA
3,AR,1318667,690982,627685,46153,130548,577576,265052,125273,172745,ARKANSAS
4,CA,18736907,10174141,8562766,505896,1705059,8731399,3784855,1686322,2304640,CALIFORNIA
5,CO,3004396,1628383,1376013,117171,285418,1397044,561822,261382,381558,COLORADO
6,CT,1745949,895672,850277,61108,158881,691396,363157,181579,288082,CONNECTICUT
7,DE,464467,234556,229911,17185,41338,196470,92429,46447,70135,DELAWARE
8,DC,840937,428037,412900,11773,47933,424673,174915,76525,105117,DISTRICT OF COLUMBIA
9,FL,9793243,5102280,4690963,274211,861805,4181715,2076168,989118,1410227,FLORIDA
10,GA,4965554,2577123,2388431,178760,461797,2219603,1067594,456831,576004,GEORGIA
11,HI,702644,370996,331648,18269,67454,306353,133502,63238,113828,HAWAII
12,ID,817006,438732,378274,40850,92322,352947,153597,71897,106211,IDAHO
13,IL,6189070,3230695,2958375,222807,557016,2717002,1262570,600340,829335,ILLINOIS
14,IN,3169257,1657521,1511736,142617,323264,1318411,637021,304249,440527,INDIANA
15,IA,1594969,842144,752825,78153,165877,666697,296664,157902,229676,IOWA
16,KS,1460306,775422,684884,70095,160634,611868,267236,135808,213205,KANSAS
17,KY,1987914,1041667,946247,91444,206743,852815,399571,182888,254453,KENTUCKY
18,LA,2034583,1045776,988807,71210,197355,917597,388605,177009,282807,LOUISIANA
19,ME,654479,337711,316768,28143,54322,248048,137441,70684,115843,MAINE
20,MD,2785540,1417840,1367700,91923,242342,1189426,576607,275768,409474,MARYLAND
21,MA,3727366,1908411,1818955,137913,342918,1561766,745473,376464,559105,MASSACHUSETTS
22,MI,4623249,2422582,2200667,203423,476195,1914025,943143,471571,614892,MICHIGAN
23,MN,2972100,1548464,1423636,130772,270461,1280975,576587,303154,407178,MINNESOTA
24,MS,1178973,594202,584771,44801,113181,508137,236974,113181,160340,MISSISSIPPI
25,MO,2968731,1528896,1439835,124687,279061,1285461,581871,293904,403747,MISSOURI
26,MT,512614,270660,241954,25118,49211,213760,93808,49211,80993,MONTANA
27,NE,1020524,541898,478626,44903,105114,432702,188797,96950,153079,NEBRASKA
28,NV,1464125,790628,673498,46852,134700,672033,306002,130307,174231,NEVADA
29,NH,690536,357698,332838,31765,62839,259642,142250,80102,113248,NEW HAMPSHIRE
30,NJ,4048598,2113368,1935230,125507,327936,1651828,870449,425103,647776,NEW JERSEY
31,NM,895943,473954,421989,37630,91386,387943,168437,85115,125432,NEW MEXICO
32,NY,9904416,5140392,4764024,257515,822067,4427274,2040310,980537,1376714,NEW YORK
33,NC,4944291,2571031,2373260,192827,469708,2130989,1053134,469708,632869,NORTH CAROLINA
34,ND,433906,240384,193522,17356,49465,198729,69859,39919,58143,NORTH DAKOTA
35,OH,5603497,2925025,2678472,246554,526729,2342262,1126303,560350,801300,OHIO
36,OK,1773259,948694,824565,72704,184419,778461,329826,161367,246483,OKLAHOMA
37,OR,2065636,1092721,972915,64035,187973,941930,413127,181776,276795,OREGON
38,PA,6126950,3192141,2934809,232824,533045,2542684,1237644,631076,943550,PENNSYLVANIA
39,RI,503071,251536,251536,20626,45779,203241,101117,50307,82001,RHODE ISLAND
40,SC,2309683,1189487,1120196,92387,219420,990854,471175,226349,309498,SOUTH CAROLINA
41,SD,451560,235714,215846,20320,42898,184688,81281,46962,74959,SOUTH DAKOTA
42,TN,3233937,1681647,1552290,129357,313692,1397061,666191,307224,420412,TENNESSEE
43,TX,13701140,7480822,6220318,506942,1342712,6329927,2712826,1178298,1616735,TEXAS
44,UT,1586539,874183,712356,96779,211010,737741,269712,109471,161827,UTAH
45,VT,322917,165979,156938,13240,29708,122063,63615,32292,61677,VERMONT
46,VA,4231450,2221511,2009939,160795,401988,1827986,854753,406219,575477,VIRGINIA
47,WA,3679051,2001404,1677647,117730,338473,1699722,721094,334794,467239,WASHINGTON
48,WV,707537,365797,341740,24056,65801,285845,149998,70754,110376,WEST VIRGINIA
49,WI,2924338,1514807,1409531,137444,289509,1196054,584868,309980,406483,WISCONSIN
50,WY,285793,156043,129750,12289,25436,127464,52014,28865,39725,WYOMING
51,PR,1020660,544012,476648,15310,82673,488896,241896,88797,103087,PUERTO RICO
